Wavenumber (cm-1),Original Intensity,Fitted Intensity,Residual
363.0,0.2956105172634125,0.3570829070496232,-0.061472389786210724
364.0,0.28952929377555847,0.3583807789860999,-0.06885148521054141
365.0,0.29108938574790955,0.3596546622830427,-0.06856527653513317
366.0,0.29563573002815247,0.3609035010261785,-0.06526777099802605
367.0,0.29933905601501465,0.362126244476348,-0.06278718846133335
368.0,0.3025623857975006,0.36332184918641397,-0.06075946338891336
369.0,0.30635666847229004,0.3644892811671094,-0.05813261269481934
370.0,0.3083755075931549,0.3656275180951141,-0.057252010501959216
371.0,0.3056390583515167,0.36673555155614584,-0.06109649320462912
372.0,0.30073896050453186,0.3678123893153702,-0.06707342881083833
373.0,0.29652807116508484,0.36885705760697746,-0.07232898644189262
374.0,0.2893028259277344,0.3698686034343666,-0.08056577750663224
375.0,0.2827649414539337,0.3708460968720015,-0.08808115541806777
376.0,0.2797243297100067,0.37178863335967866,-0.09206430364967194
377.0,0.2774023413658142,0.3726953359796716,-0.09529299461385737
378.0,0.2773715555667877,0.37356535770700305,-0.09619380214021533
379.0,0.2865079939365387,0.3743978836229355,-0.08788988968639683
380.0,0.3016633987426758,0.3751921330816802,-0.07352873433900442
381.0,0.30794060230255127,0.3759473618203017,-0.06800675951775043
382.0,0.29852017760276794,0.3766628640018393,-0.07814268639907135
383.0,0.28629931807518005,0.37733797418178416,-0.09103865610660411
384.0,0.2857312858104706,0.37797206918824605,-0.09224078337777547
385.0,0.2941260039806366,0.3785645699064024,-0.08443856592576582
386.0,0.302886962890625,0.3791149429581713,-0.07622798006754627
387.0,0.3028962314128876,0.3796227022684508,-0.07672647085556322
388.0,0.2924431562423706,0.3800874105097584,-0.08764425426738781
389.0,0.2850129306316376,0.3805086804176488,-0.09549574978601122
390.0,0.2856411039829254,0.3808861759699047,-0.09524507198697929
391.0,0.2871593236923218,0.3812196134231682,-0.0940602897308464
392.0,0.288592129945755,0.3815087622014116,-0.0929166322556566
393.0,0.2942771911621094,0.3817534456314204,-0.08747625446931101
394.0,0.30034834146499634,0.3819535415212843,-0.08160520005628796
395.0,0.2980833947658539,0.38210898257874915,-0.08402558781289526
396.0,0.2846015989780426,0.38221975666716174,-0.09761815768911913
397.0,0.27324607968330383,0.3822859068976505,-0.10903982721434669
398.0,0.2787831723690033,0.38230753155709757,-0.10352435918809427
399.0,0.2981144189834595,0.3822847838723787,-0.08417036488891921
400.0,0.31068000197410583,0.3822178716122699,-0.07153786963816405
